evidence_id,species_id,country_code,jurisdiction_id,relationship_status,regulatory_classification,authority_id,official_species_name,official_group_name,source_id,effective_period,retrieved_at,evidence_note,verification_status,notes
evidence:us-md-sika,species:sika-deer,US,jurisdiction:us-md,DOCUMENTED_HUNTING,BIG_GAME,authority:us-md-dnr,Sika Deer,Game animal,source:us-md-hunting,current_hub,2026-09-20,Official state hunting hub regulates sika deer separately from white-tailed deer,NEEDS_REVIEW,
evidence:us-ma-whitetail,species:white-tailed-deer,US,jurisdiction:us-ma,DOCUMENTED_HUNTING,BIG_GAME,authority:us-ma-masswildlife,White-tailed Deer,Game animal,source:us-ma-hunting,current_hub,2026-09-20,Official hunting regulations include wildlife management zones,NEEDS_REVIEW,
evidence:us-mi-whitetail,species:white-tailed-deer,US,jurisdiction:us-mi,DOCUMENTED_HUNTING,BIG_GAME,authority:us-mi-dnr,White-tailed Deer,Game animal,source:us-mi-hunting,current_hub,2026-09-20,Official state hunting hub publishes deer management-unit rules,NEEDS_REVIEW,
evidence:us-mn-whitetail,species:white-tailed-deer,US,jurisdiction:us-mn,DOCUMENTED_HUNTING,BIG_GAME,authority:us-mn-dnr,White-tailed Deer,Big game,source:us-mn-hunting,current_hub,2026-09-20,Official state hunting hub publishes permit-area rules,NEEDS_REVIEW,
evidence:us-ms-whitetail,species:white-tailed-deer,US,jurisdiction:us-ms,DOCUMENTED_HUNTING,BIG_GAME,authority:us-ms-mdwfp,White-tailed Deer,Game animal,source:us-ms-hunting,current_hub,2026-09-20,Official state hunting hub publishes zone seasons,NEEDS_REVIEW,
evidence:us-mo-whitetail,species:white-tailed-deer,US,jurisdiction:us-mo,DOCUMENTED_HUNTING,BIG_GAME,authority:us-mo-mdc,White-tailed Deer,Game animal,source:us-mo-hunting,current_hub,2026-09-20,Official state hunting hub publishes deer regulations,NEEDS_REVIEW,
evidence:us-mt-elk,species:elk,US,jurisdiction:us-mt,DOCUMENTED_HUNTING,BIG_GAME,authority:us-mt-fwp,Elk,Big game,source:us-mt-hunting,current_hub,2026-09-20,Official state hunting hub publishes hunting-district rules,NEEDS_REVIEW,
evidence:us-ne-whitetail,species:white-tailed-deer,US,jurisdiction:us-ne,DOCUMENTED_HUNTING,BIG_GAME,authority:us-ne-ngpc,White-tailed Deer,Big game,source:us-ne-hunting,current_hub,2026-09-20,Official state hunting hub publishes deer unit and permit rules,NEEDS_REVIEW,
evidence:us-nv-mule-deer,species:mule-deer,US,jurisdiction:us-nv,PERMIT_OR_QUOTA,BIG_GAME,authority:us-nv-ndow,Mule Deer,Big game,source:us-nv-hunting,current_hub,2026-09-20,Official state hunting hub publishes unit and draw rules,NEEDS_REVIEW,
evidence:us-nh-whitetail,species:white-tailed-deer,US,jurisdiction:us-nh,DOCUMENTED_HUNTING,BIG_GAME,authority:us-nh-fg,White-tailed Deer,Game animal,source:us-nh-hunting,current_hub,2026-09-20,Official state hunting hub publishes WMU rules,NEEDS_REVIEW,
evidence:us-nj-whitetail,species:white-tailed-deer,US,jurisdiction:us-nj,DOCUMENTED_HUNTING,BIG_GAME,authority:us-nj-fws,White-tailed Deer,Game animal,source:us-nj-hunting,current_hub,2026-09-20,Official state hunting hub publishes deer management-zone rules,NEEDS_REVIEW,
evidence:us-nm-elk,species:elk,US,jurisdiction:us-nm,PERMIT_OR_QUOTA,BIG_GAME,authority:us-nm-dgf,Elk,Big game,source:us-nm-hunting,current_hub,2026-09-20,Official state hunting hub publishes GMU and draw rules,NEEDS_REVIEW,
evidence:us-ny-whitetail,species:white-tailed-deer,US,jurisdiction:us-ny,DOCUMENTED_HUNTING,BIG_GAME,authority:us-ny-dec,White-tailed Deer,Big game,source:us-ny-hunting,current_hub,2026-09-20,Official state hunting hub publishes WMU rules,NEEDS_REVIEW,
evidence:us-nc-whitetail,species:white-tailed-deer,US,jurisdiction:us-nc,DOCUMENTED_HUNTING,BIG_GAME,authority:us-nc-wrc,White-tailed Deer,Big game,source:us-nc-hunting,current_hub,2026-09-20,Official state hunting hub publishes zone and game-land rules,NEEDS_REVIEW,
evidence:us-nd-whitetail,species:white-tailed-deer,US,jurisdiction:us-nd,PERMIT_OR_QUOTA,BIG_GAME,authority:us-nd-gf,White-tailed Deer,Big game,source:us-nd-hunting,current_hub,2026-09-20,Official state hunting hub publishes unit and licence rules,NEEDS_REVIEW,
evidence:us-oh-whitetail,species:white-tailed-deer,US,jurisdiction:us-oh,DOCUMENTED_HUNTING,BIG_GAME,authority:us-oh-dow,White-tailed Deer,Game quadruped,source:us-oh-hunting,current_consolidation,2026-09-20,Ohio Administrative Code contains hunting and wild-animal regulations,SOURCE_FOUND,Add current annual summary for operational tables
evidence:us-ok-whitetail,species:white-tailed-deer,US,jurisdiction:us-ok,DOCUMENTED_HUNTING,BIG_GAME,authority:us-ok-wd,White-tailed Deer,Big game,source:us-ok-hunting,current_hub,2026-09-20,Official state hunting hub publishes zone and WMA rules,NEEDS_REVIEW,
evidence:us-or-elk,species:elk,US,jurisdiction:us-or,DOCUMENTED_HUNTING,BIG_GAME,authority:us-or-odfw,Elk,Big game,source:us-or-hunting,2026,2026-09-20,Official 2026 big-game publication contains elk regulations,SOURCE_FOUND,Controlled/general hunt details remain in Hunt ingestion
evidence:us-pa-whitetail,species:white-tailed-deer,US,jurisdiction:us-pa,DOCUMENTED_HUNTING,BIG_GAME,authority:us-pa-pgc,White-tailed Deer,Big game,source:us-pa-hunting,current_hub,2026-09-20,Official state hunting hub publishes WMU regulations,NEEDS_REVIEW,
evidence:us-ri-whitetail,species:white-tailed-deer,US,jurisdiction:us-ri,DOCUMENTED_HUNTING,BIG_GAME,authority:us-ri-dem,White-tailed Deer,Game animal,source:us-ri-hunting,current_hub,2026-09-20,Official state hunting hub publishes zone/area rules,NEEDS_REVIEW,
evidence:us-sc-whitetail,species:white-tailed-deer,US,jurisdiction:us-sc,DOCUMENTED_HUNTING,BIG_GAME,authority:us-sc-dnr,White-tailed Deer,Big game,source:us-sc-hunting,current_hub,2026-09-20,Official state hunting hub publishes game-zone regulations,NEEDS_REVIEW,
evidence:us-sd-whitetail,species:white-tailed-deer,US,jurisdiction:us-sd,PERMIT_OR_QUOTA,BIG_GAME,authority:us-sd-gfp,White-tailed Deer,Big game,source:us-sd-hunting,current_hub,2026-09-20,Official state hunting hub publishes unit and licence rules,NEEDS_REVIEW,
evidence:us-tn-whitetail,species:white-tailed-deer,US,jurisdiction:us-tn,DOCUMENTED_HUNTING,BIG_GAME,authority:us-tn-twra,White-tailed Deer,Big game,source:us-tn-hunting,current_hub,2026-09-20,Official state hunting hub publishes unit regulations,NEEDS_REVIEW,
evidence:us-tx-whitetail,species:white-tailed-deer,US,jurisdiction:us-tx,DOCUMENTED_HUNTING,BIG_GAME,authority:us-tx-tpwd,White-tailed Deer,Game animal,source:us-tx-hunting,current_hub,2026-09-20,Official Outdoor Annual publishes county-specific regulations,NEEDS_REVIEW,
evidence:us-ut-mule-deer,species:mule-deer,US,jurisdiction:us-ut,PERMIT_OR_QUOTA,BIG_GAME,authority:us-ut-dwr,Buck Deer,Big game,source:us-ut-hunting,2026,2026-09-20,Official guidebook page provides 2026 big-game rules and revisions,SOURCE_FOUND,
evidence:us-vt-whitetail,species:white-tailed-deer,US,jurisdiction:us-vt,DOCUMENTED_HUNTING,BIG_GAME,authority:us-vt-fw,White-tailed Deer,Big game,source:us-vt-hunting,current_hub,2026-09-20,Official state hunting hub publishes WMU rules,NEEDS_REVIEW,
evidence:us-va-whitetail,species:white-tailed-deer,US,jurisdiction:us-va,DOCUMENTED_HUNTING,BIG_GAME,authority:us-va-dwr,Deer,Game animal,source:us-va-hunting,current_hub,2026-09-20,Official state hunting hub publishes county rules,NEEDS_REVIEW,
evidence:us-wa-elk,species:elk,US,jurisdiction:us-wa,DOCUMENTED_HUNTING,BIG_GAME,authority:us-wa-wdfw,Elk,Big game,source:us-wa-hunting,current_hub,2026-09-20,Official state hunting hub publishes GMU and permit rules,NEEDS_REVIEW,
evidence:us-wv-whitetail,species:white-tailed-deer,US,jurisdiction:us-wv,DOCUMENTED_HUNTING,BIG_GAME,authority:us-wv-dnr,White-tailed Deer,Big game,source:us-wv-hunting,current_hub,2026-09-20,Official state hunting hub publishes county regulations,NEEDS_REVIEW,
evidence:us-wi-whitetail,species:white-tailed-deer,US,jurisdiction:us-wi,DOCUMENTED_HUNTING,BIG_GAME,authority:us-wi-dnr,White-tailed Deer,Big game,source:us-wi-hunting,current_hub,2026-09-20,Official state hunting hub publishes deer management-unit rules,NEEDS_REVIEW,
evidence:us-wy-elk,species:elk,US,jurisdiction:us-wy,PERMIT_OR_QUOTA,BIG_GAME,authority:us-wy-wgfd,Elk,Big game,source:us-wy-hunting,current_hub,2026-09-20,Official state hunting hub publishes hunt-area and licence rules,NEEDS_REVIEW,
evidence:ca-ab-ruffed-grouse,species:ruffed-grouse,CA,jurisdiction:ca-ab,DOCUMENTED_HUNTING,GAME_BIRD,authority:ca-ab-epa,Ruffed Grouse,Game bird,source:ca-ab-hunting,current_hub,2026-09-20,Official provincial hunting hub is the source candidate for seasons and WMU rules,NEEDS_REVIEW,Extract current season table before regulatory use
evidence:ca-ab-spruce-grouse,species:spruce-grouse,CA,jurisdiction:ca-ab,DOCUMENTED_HUNTING,GAME_BIRD,authority:ca-ab-epa,Spruce Grouse,Game bird,source:ca-ab-hunting,current_hub,2026-09-20,Official provincial hunting hub is the source candidate for seasons and WMU rules,NEEDS_REVIEW,
evidence:ca-ab-snowshoe-hare,species:snowshoe-hare,CA,jurisdiction:ca-ab,DOCUMENTED_HUNTING,SMALL_GAME,authority:ca-ab-epa,Snowshoe Hare,Small game,source:ca-ab-hunting,current_hub,2026-09-20,Official provincial hunting hub is the source candidate for small-game rules,NEEDS_REVIEW,
evidence:ca-bc-ruffed-grouse,species:ruffed-grouse,CA,jurisdiction:ca-bc,DOCUMENTED_HUNTING,GAME_BIRD,authority:ca-bc-wlrs,Ruffed Grouse,Upland game bird,source:ca-bc-synopsis-2024-26,2024-2026,2026-09-20,Official synopsis documents regional game-bird rules,NEEDS_REVIEW,Refresh against successor synopsis
evidence:ca-bc-dusky-grouse,species:dusky-grouse,CA,jurisdiction:ca-bc,DOCUMENTED_HUNTING,GAME_BIRD,authority:ca-bc-wlrs,Dusky Grouse,Upland game bird,source:ca-bc-synopsis-2024-26,2024-2026,2026-09-20,Official synopsis documents regional game-bird rules,NEEDS_REVIEW,Refresh against successor synopsis
evidence:ca-bc-ring-necked-pheasant,species:ring-necked-pheasant,CA,jurisdiction:ca-bc,DOCUMENTED_HUNTING,GAME_BIRD,authority:ca-bc-wlrs,Ring-necked Pheasant,Upland game bird,source:ca-bc-synopsis-2024-26,2024-2026,2026-09-20,Official synopsis documents regional game-bird rules,NEEDS_REVIEW,Refresh against successor synopsis
evidence:ca-mb-ruffed-grouse,species:ruffed-grouse,CA,jurisdiction:ca-mb,DOCUMENTED_HUNTING,GAME_BIRD,authority:ca-mb-nrif,Ruffed Grouse,Game bird,source:ca-mb-hunting-2026,2026,2026-09-20,Official 2026 hunting source is the candidate for season details,NEEDS_REVIEW,
evidence:ca-mb-sharp-tailed-grouse,species:sharp-tailed-grouse,CA,jurisdiction:ca-mb,DOCUMENTED_HUNTING,GAME_BIRD,authority:ca-mb-nrif,Sharp-tailed Grouse,Game bird,source:ca-mb-hunting-2026,2026,2026-09-20,Official 2026 hunting source is the candidate for season details,NEEDS_REVIEW,
evidence:ca-mb-snowshoe-hare,species:snowshoe-hare,CA,jurisdiction:ca-mb,DOCUMENTED_HUNTING,SMALL_GAME,authority:ca-mb-nrif,Snowshoe Hare,Small game,source:ca-mb-hunting-2026,2026,2026-09-20,Official 2026 hunting source is the candidate for season details,NEEDS_REVIEW,
evidence:ca-nb-ruffed-grouse,species:ruffed-grouse,CA,jurisdiction:ca-nb,DOCUMENTED_HUNTING,GAME_BIRD,authority:ca-nb-nred,Ruffed Grouse,Game bird,source:ca-nb-hunt-trap,current_hub,2026-09-20,Official hunting and trapping hub is the candidate for current season details,NEEDS_REVIEW,
evidence:ca-nb-snowshoe-hare,species:snowshoe-hare,CA,jurisdiction:ca-nb,DOCUMENTED_HUNTING,SMALL_GAME,authority:ca-nb-nred,Snowshoe Hare,Small game,source:ca-nb-hunt-trap,current_hub,2026-09-20,Official hunting and trapping hub is the candidate for current season details,NEEDS_REVIEW,
evidence:ca-nl-snowshoe-hare,species:snowshoe-hare,CA,jurisdiction:ca-nl,DOCUMENTED_HUNTING,SMALL_GAME,authority:ca-nl-fal,Snowshoe Hare,Small game,source:ca-nl-guide-2026-27,2026-2027,2026-09-20,Official annual guide is the candidate for island and Labrador season details,NEEDS_REVIEW,
evidence:ca-nl-ruffed-grouse,species:ruffed-grouse,CA,jurisdiction:ca-nl,DOCUMENTED_HUNTING,GAME_BIRD,authority:ca-nl-fal,Ruffed Grouse,Small game,source:ca-nl-guide-2026-27,2026-2027,2026-09-20,Official annual guide is the candidate for season details,NEEDS_REVIEW,
evidence:ca-nt-willow-ptarmigan,species:willow-ptarmigan,CA,jurisdiction:ca-nt,DOCUMENTED_HUNTING,GAME_BIRD,authority:ca-nt-ecc,Willow Ptarmigan,Small game,source:ca-nt-summary-2026-27,2026-2027,2026-09-20,Official territorial summary is the candidate for area and harvest-class rules,NEEDS_REVIEW,Harvest rights must remain explicit
evidence:ca-nt-rock-ptarmigan,species:rock-ptarmigan,CA,jurisdiction:ca-nt,DOCUMENTED_HUNTING,GAME_BIRD,authority:ca-nt-ecc,Rock Ptarmigan,Small game,source:ca-nt-summary-2026-27,2026-2027,2026-09-20,Official territorial summary is the candidate for area and harvest-class rules,NEEDS_REVIEW,Harvest rights must remain explicit
evidence:ca-nt-snowshoe-hare,species:snowshoe-hare,CA,jurisdiction:ca-nt,DOCUMENTED_HUNTING,SMALL_GAME,authority:ca-nt-ecc,Snowshoe Hare,Small game,source:ca-nt-summary-2026-27,2026-2027,2026-09-20,Official territorial summary is the candidate for area and harvest-class rules,NEEDS_REVIEW,
evidence:ca-ns-ruffed-grouse,species:ruffed-grouse,CA,jurisdiction:ca-ns,DOCUMENTED_HUNTING,GAME_BIRD,authority:ca-ns-nr,Ruffed Grouse,Small game,source:ca-ns-summary,current,2026-09-20,Official provincial summary is the candidate for season details,NEEDS_REVIEW,
evidence:ca-ns-snowshoe-hare,species:snowshoe-hare,CA,jurisdiction:ca-ns,DOCUMENTED_HUNTING,SMALL_GAME,authority:ca-ns-nr,Snowshoe Hare,Small game,source:ca-ns-summary,current,2026-09-20,Official provincial summary is the candidate for season details,NEEDS_REVIEW,
evidence:ca-ns-ring-necked-pheasant,species:ring-necked-pheasant,CA,jurisdiction:ca-ns,DOCUMENTED_HUNTING,GAME_BIRD,authority:ca-ns-nr,Ring-necked Pheasant,Small game,source:ca-ns-summary,current,2026-09-20,Official provincial summary is the candidate for season details,NEEDS_REVIEW,
evidence:ca-nu-willow-ptarmigan,species:willow-ptarmigan,CA,jurisdiction:ca-nu,DOCUMENTED_HUNTING,GAME_BIRD,authority:ca-nu-env,Willow Ptarmigan,Small game,source:ca-nu-guide-2026-27,2026-2027,2026-09-20,Official territorial guide is the candidate for community and harvest-rights rules,NEEDS_REVIEW,Co-management applies
evidence:ca-nu-rock-ptarmigan,species:rock-ptarmigan,CA,jurisdiction:ca-nu,DOCUMENTED_HUNTING,GAME_BIRD,authority:ca-nu-env,Rock Ptarmigan,Small game,source:ca-nu-guide-2026-27,2026-2027,2026-09-20,Official territorial guide is the candidate for community and harvest-rights rules,NEEDS_REVIEW,Co-management applies
evidence:ca-nu-arctic-hare,species:arctic-hare,CA,jurisdiction:ca-nu,DOCUMENTED_HUNTING,SMALL_GAME,authority:ca-nu-env,Arctic Hare,Small game,source:ca-nu-guide-2026-27,2026-2027,2026-09-20,Official territorial guide is the candidate for community and harvest-rights rules,NEEDS_REVIEW,Co-management applies
evidence:ca-on-spruce-grouse,species:spruce-grouse,CA,jurisdiction:ca-on,DOCUMENTED_HUNTING,GAME_BIRD,authority:ca-on-mnr,Spruce Grouse,Game bird,source:ca-on-summary-2026,2026,2026-09-20,Official annual summary is the candidate for WMU season details,NEEDS_REVIEW,
evidence:ca-on-snowshoe-hare,species:snowshoe-hare,CA,jurisdiction:ca-on,DOCUMENTED_HUNTING,SMALL_GAME,authority:ca-on-mnr,Snowshoe Hare,Small game,source:ca-on-summary-2026,2026,2026-09-20,Official annual summary is the candidate for WMU season details,NEEDS_REVIEW,
evidence:ca-on-ring-necked-pheasant,species:ring-necked-pheasant,CA,jurisdiction:ca-on,DOCUMENTED_HUNTING,GAME_BIRD,authority:ca-on-mnr,Ring-necked Pheasant,Game bird,source:ca-on-summary-2026,2026,2026-09-20,Official annual summary is the candidate for WMU season details,NEEDS_REVIEW,
evidence:ca-qc-ruffed-grouse,species:ruffed-grouse,CA,jurisdiction:ca-qc,DOCUMENTED_HUNTING,SMALL_GAME,authority:ca-qc-mffp,Gélinotte huppée,Petit gibier,source:ca-qc-seasons-2026,2026,2026-09-20,Official season source is the candidate for zone dates and limits,NEEDS_REVIEW,French terminology is authoritative
evidence:ca-qc-spruce-grouse,species:spruce-grouse,CA,jurisdiction:ca-qc,DOCUMENTED_HUNTING,SMALL_GAME,authority:ca-qc-mffp,Tétras du Canada,Petit gibier,source:ca-qc-seasons-2026,2026,2026-09-20,Official season source is the candidate for zone dates and limits,NEEDS_REVIEW,French terminology is authoritative
evidence:ca-qc-snowshoe-hare,species:snowshoe-hare,CA,jurisdiction:ca-qc,DOCUMENTED_HUNTING,SMALL_GAME,authority:ca-qc-mffp,Lièvre d'Amérique,Petit gibier,source:ca-qc-seasons-2026,2026,2026-09-20,Official season source is the candidate for zone dates and limits,NEEDS_REVIEW,French terminology is authoritative
evidence:ca-sk-sharp-tailed-grouse,species:sharp-tailed-grouse,CA,jurisdiction:ca-sk,DOCUMENTED_HUNTING,GAME_BIRD,authority:ca-sk-env,Sharp-tailed Grouse,Upland game bird,source:ca-sk-hunting,current_hub,2026-09-20,Official provincial hub is the candidate for WMZ season details,NEEDS_REVIEW,
evidence:ca-sk-ruffed-grouse,species:ruffed-grouse,CA,jurisdiction:ca-sk,DOCUMENTED_HUNTING,GAME_BIRD,authority:ca-sk-env,Ruffed Grouse,Upland game bird,source:ca-sk-hunting,current_hub,2026-09-20,Official provincial hub is the candidate for WMZ season details,NEEDS_REVIEW,
evidence:ca-sk-ring-necked-pheasant,species:ring-necked-pheasant,CA,jurisdiction:ca-sk,DOCUMENTED_HUNTING,GAME_BIRD,authority:ca-sk-env,Ring-necked Pheasant,Upland game bird,source:ca-sk-hunting,current_hub,2026-09-20,Official provincial hub is the candidate for WMZ season details,NEEDS_REVIEW,
evidence:ca-yt-willow-ptarmigan,species:willow-ptarmigan,CA,jurisdiction:ca-yt,DOCUMENTED_HUNTING,GAME_BIRD,authority:ca-yt-env,Willow Ptarmigan,Small game,source:ca-yt-regulations-2026-27,2026-2027,2026-09-20,Official current guide is the candidate for GMS season details,NEEDS_REVIEW,
evidence:ca-yt-ruffed-grouse,species:ruffed-grouse,CA,jurisdiction:ca-yt,DOCUMENTED_HUNTING,GAME_BIRD,authority:ca-yt-env,Ruffed Grouse,Small game,source:ca-yt-regulations-2026-27,2026-2027,2026-09-20,Official current guide is the candidate for GMS season details,NEEDS_REVIEW,
evidence:ca-yt-snowshoe-hare,species:snowshoe-hare,CA,jurisdiction:ca-yt,DOCUMENTED_HUNTING,SMALL_GAME,authority:ca-yt-env,Snowshoe Hare,Small game,source:ca-yt-regulations-2026-27,2026-2027,2026-09-20,Official current guide is the candidate for GMS season details,NEEDS_REVIEW,
